qol,police,streets,water_sewer,yrs_lived,housing_exp,age,male,own,race,hhi,zip,long,lat
2,3,2,9,29,0,1,1,1,B,1,27712,78.877,36.087
4,4,3,5,34,0,3,0,0,W,2,27705,78.92,36.022
4,9,4,5,15,0,2,1,1,W,9,27703,78.756,35.927
3,3,4,4,11,9,1,0,1,W,9,27713,78.919,35.933
4,2,2,4,4,0,1,1,1,B,3,27713,78.882,35.939
4,5,3,3,35,0,4,1,1,W,4,27705,78.99,35.976
4,4,3,4,3,0,1,1,1,W,3,27707,78.903,35.972
3,1,1,4,25,0,1,0,0,W,3,27712,78.951,36.078
3,4,4,4,25,9,5,0,1,W,9,27705,78.96,36.017
2,5,2,4,12,1,1,0,1,W,2,27712,78.956,36.069
4,4,3,4,20,0,2,1,1,B,4,27713,78.928,35.89
4,4,4,5,41,0,4,1,1,W,3,27705,78.99,35.982
2,4,1,4,22,1,2,0,1,B,9,27703,78.756,35.927
3,4,4,4,4,0,1,0,0,W,1,27707,78.993,35.939
4,5,4,4,6,0,3,1,1,O,3,27703,78.789,35.927
4,9,4,5,30,0,4,1,1,W,3,27705,78.969,35.985
2,4,2,4,20,0,3,1,0,W,3,27703,78.813,35.952
5,5,2,5,4,0,1,1,1,B,4,27703,78.794,35.97
5,3,4,4,7,0,1,1,0,W,3,27703,78.813,35.978
2,4,2,3,12,0,2,1,1,W,3,27703,78.82,35.931
4,4,4,2,23,0,3,0,0,B,3,27713,78.922,35.883
3,2,1,3,5,1,5,1,0,W,1,27703,78.782,35.936
5,4,4,4,5,0,1,1,1,W,4,27704,78.917,36.059
3,3,2,4,37,0,4,0,1,B,2,27704,78.895,36.072
4,2,3,4,25,9,2,1,1,O,3,27703,78.868,35.999
4,9,9,5,0,0,1,0,1,W,3,27713,78.931,35.93
3,3,3,3,21,0,2,1,1,O,2,27703,78.801,35.98
3,5,2,4,6,0,2,0,1,W,2,27703,78.846,35.992
3,3,2,3,5,0,1,0,1,W,3,27703,78.811,36.007
2,1,2,3,28,1,1,0,1,W,9,27707,78.949,35.96
4,4,4,4,8,0,1,0,1,W,9,27712,78.895,36.095
2,5,4,3,14,0,2,0,0,W,1,27703,78.845,35.939
4,3,4,4,5,0,1,1,1,W,4,27704,78.891,36.016
1,1,3,3,50,0,3,0,1,W,4,27712,78.96,36.103
2,2,1,4,52,0,3,1,1,O,9,27704,78.77,36.018
4,3,2,3,48,9,5,0,1,W,2,27704,78.802,36.052
4,4,4,5,43,0,4,1,1,W,2,27712,78.968,36.067
4,4,2,5,47,0,4,0,1,B,3,27705,78.915,36.011
5,3,3,9,25,0,4,1,0,W,2,27701,78.898,36.013
3,3,3,2,7,0,1,0,1,O,4,27703,78.758,35.926
3,1,1,1,26,1,1,1,0,B,1,27701,78.887,35.994
3,3,4,4,5,0,1,1,1,W,4,27703,78.804,35.96
4,4,2,4,7,0,1,0,1,W,4,27703,78.833,35.957
3,3,2,2,2,1,1,1,0,B,3,27703,78.874,35.993
4,1,2,4,49,1,4,0,1,B,2,27703,78.881,35.992
3,4,2,3,57,1,4,0,0,B,2,27701,78.888,35.97
1,2,2,4,4,1,4,1,0,B,1,27707,78.902,35.973
4,4,2,4,31,0,2,1,1,B,4,27713,78.924,35.894
5,2,2,2,39,1,3,1,0,B,2,27703,78.883,35.99
3,3,1,9,11,0,9,0,0,B,3,27703,78.812,35.993
1,2,2,4,77,0,5,1,1,B,9,27704,78.884,36.064
2,5,4,4,40,9,2,0,1,W,9,27572,78.85,36.183
2,4,3,4,13,1,4,1,0,O,2,27703,78.805,35.965
1,3,3,3,9,0,3,0,1,B,4,27712,78.938,36.129
4,1,4,1,10,0,1,0,0,W,3,27713,78.936,35.917
1,3,2,4,17,9,3,0,1,B,9,27503,78.861,36.145
1,4,1,5,36,1,3,0,1,B,1,27703,78.81,36
5,3,1,2,30,0,1,0,0,W,3,27705,78.916,36.015
3,3,9,5,11,0,1,1,0,W,2,27705,78.915,36.014
4,4,3,4,4,0,3,0,1,B,3,27712,78.868,36.099
3,3,4,9,41,1,2,1,0,B,1,27701,78.894,36.006
5,4,3,3,4,0,1,1,0,W,3,27705,78.932,36.016
3,2,4,4,44,1,3,0,0,B,1,27701,78.894,35.979
3,9,9,9,38,0,4,0,1,W,4,27707,78.973,35.966
3,4,1,4,24,1,4,0,0,W,3,27703,78.842,35.952
4,4,3,3,25,0,3,1,1,B,4,27713,78.93,35.882
3,4,4,5,70,0,5,1,0,B,2,27503,78.862,36.168
3,1,1,4,14,0,1,1,1,W,4,27707,78.905,35.985
4,4,4,4,75,0,5,1,1,B,1,27703,78.811,35.973
4,2,4,5,51,1,4,1,0,B,2,27707,78.907,35.969
3,3,5,4,49,1,3,1,0,B,1,27703,78.857,35.987
5,4,4,4,33,0,1,1,0,B,2,27705,78.993,35.975
2,3,3,2,3,0,2,1,1,W,3,27712,78.949,36.087
4,5,5,5,32,0,1,1,0,W,2,27704,78.896,36.028
2,2,2,3,6,0,3,1,1,O,9,27713,78.919,35.946
3,3,2,4,73,0,5,0,0,B,1,27712,78.912,36.096
4,2,1,3,5,1,1,0,1,B,2,27704,,
3,3,2,9,21,1,4,1,1,W,4,27707,78.992,35.935
4,5,5,5,52,0,3,1,0,W,3,27704,78.832,36.026
4,4,4,4,8,0,4,0,1,W,3,27704,78.834,36.052
4,4,3,9,30,0,5,1,1,W,3,27712,78.972,36.076
2,3,2,4,40,1,3,1,1,B,1,27707,78.921,35.966
3,3,2,3,1,9,1,1,0,B,2,27707,78.908,35.977
2,3,2,2,54,1,3,1,0,W,1,27704,78.848,36.026
4,3,3,3,56,0,4,0,0,B,1,27712,78.942,36.08
3,9,9,9,25,0,3,1,1,B,4,27705,78.983,36.012
5,4,4,4,4,0,1,0,1,W,3,27703,78.803,36.01
4,3,2,4,70,0,5,1,1,W,2,27712,78.905,36.117
3,9,3,3,72,0,5,0,1,W,4,27705,78.916,36.012
3,2,5,4,33,0,5,1,0,W,2,27712,78.925,36.093
3,3,1,2,10,0,1,1,1,W,3,27503,78.862,36.168
3,2,2,2,57,0,4,0,0,W,3,27503,78.859,36.151
3,9,9,9,51,1,3,0,0,W,9,27503,78.861,36.145
4,4,2,4,7,0,1,1,1,W,3,27713,78.922,35.932
5,4,2,9,18,0,3,0,0,B,1,27704,78.851,36.021
5,1,1,9,8,0,4,1,1,W,9,27712,78.932,36.087
5,3,3,5,71,0,5,1,1,B,4,27712,78.905,36.096
1,5,5,5,26,0,2,1,1,W,2,27704,78.855,36.009
5,5,4,5,12,0,1,0,0,W,3,27713,78.924,35.932
2,5,5,9,13,0,1,0,1,B,3,27707,78.931,35.982
4,5,1,4,13,0,4,1,0,O,3,27701,78.899,36.014
2,4,4,4,70,9,5,1,1,B,9,27572,78.914,36.232
4,3,4,4,12,0,2,0,0,B,3,27503,78.883,36.162
4,5,1,5,35,0,4,1,1,W,2,27712,78.921,36.108
3,3,1,4,11,0,1,0,1,W,3,27503,78.869,36.163
3,4,2,9,25,0,4,1,1,B,9,27503,78.809,36.12
4,4,3,3,4,0,2,0,1,W,9,27503,78.934,36.166
5,2,4,4,1,0,2,1,1,O,1,27703,78.833,35.995
4,9,1,9,20,0,2,1,1,W,3,27713,78.949,35.895
5,4,3,9,27,0,5,0,0,W,3,27713,78.939,35.931
1,9,4,9,42,1,3,1,0,W,1,27703,78.875,35.98
5,4,4,3,32,9,5,1,0,W,3,27712,78.954,36.09
3,4,4,5,65,9,9,0,1,W,2,27704,78.834,36.032
5,3,4,3,2,0,1,0,1,W,4,27707,78.892,35.968
2,2,1,1,41,0,3,1,1,W,3,27712,78.89,36.078
4,5,9,9,20,0,2,1,1,W,4,27704,78.892,36.03
4,9,2,4,25,0,2,0,1,O,3,27712,78.887,36.088
4,3,2,3,6,0,2,0,1,B,9,27707,78.95,35.948
4,9,3,4,50,1,5,0,0,B,1,27707,78.897,35.958
4,5,9,5,2,0,1,0,1,W,4,27703,78.824,35.967
3,4,1,2,60,0,5,1,1,B,3,27707,78.908,35.978
4,3,2,5,6,0,1,0,1,W,3,27704,78.808,36.037
4,4,3,3,10,0,1,0,1,W,4,27713,78.924,35.888
4,4,3,4,30,0,3,1,1,B,4,27503,78.888,36.144
2,4,2,4,3,0,1,1,0,W,3,27701,78.906,36.011
1,5,3,5,22,0,2,0,0,B,4,27713,78.888,35.941
3,3,2,4,13,1,1,1,1,O,2,27701,78.879,36.013
3,3,2,4,73,0,5,0,1,B,1,27701,78.92,35.995
4,3,4,3,33,0,3,0,1,W,4,27703,78.824,35.933
5,3,1,3,76,1,5,0,1,B,1,27703,78.826,35.964
5,4,2,4,41,0,4,0,1,W,2,27707,78.971,35.935
2,3,1,3,20,1,5,0,1,B,1,27707,78.914,35.954
