Season,Club,Capacity,Pts,CurrentResult,PriorResult
2009-2010,Atalanta,26393,35,18,11
2009-2010,Bari,58270,50,10,18
2009-2010,Bologna,39444,42,17,17
2009-2010,Cagliari,23486,44,16,9
2009-2010,Catania,23420,45,13,15
2009-2010,Chievo,39211,44,14,16
2009-2010,Fiorentina,47282,47,11,4
2009-2010,Genoa,36685,51,9,5
2009-2010,Internazionale,80074,82,1,1
2009-2010,Juventus,27994,55,7,2
2009-2010,Lazio,72698,46,12,10
2009-2010,Livorno,19238,29,20,20
2009-2010,Milan,80074,70,3,3
2009-2010,Napoli,60240,59,6,12
2009-2010,Palermo,37242,65,5,8
2009-2010,Parma,27906,52,8,19
2009-2010,Roma,72698,80,2,6
2009-2010,Sampdoria,36685,67,4,13
2009-2010,Siena,15373,31,19,14
2009-2010,Udinese,41652,44,15,7
2010-2011,Bari,58270,24,20,10
2010-2011,Bologna,39444,42,16,17
2010-2011,Brescia,16308,32,19,20
2010-2011,Cagliari,23486,45,14,16
2010-2011,Catania,23420,46,13,13
2010-2011,Cesena,23860,43,15,19
2010-2011,Chievo,39211,46,11,14
2010-2011,Fiorentina,47282,51,9,11
2010-2011,Genoa,36685,51,10,9
2010-2011,Internazionale,80074,76,2,1
2010-2011,Juventus,27994,58,7,7
2010-2011,Lazio,72698,66,5,12
2010-2011,Lecce,33876,41,17,18
2010-2011,Milan,80074,82,1,3
2010-2011,Napoli,60240,70,3,6
2010-2011,Palermo,37242,56,8,5
2010-2011,Parma,27906,46,12,8
2010-2011,Roma,72698,63,6,2
2010-2011,Sampdoria,36685,36,18,4
2010-2011,Udinese,41652,66,4,15
2011-2012,Atalanta,24642,46,12,18
2011-2012,Bologna,39444,51,9,16
2011-2012,Cagliari,23486,43,15,14
2011-2012,Catania,23420,48,11,13
2011-2012,Cesena,23860,22,20,15
2011-2012,Chievo,39211,49,10,11
2011-2012,Fiorentina,47282,46,13,9
2011-2012,Genoa,36685,42,17,10
2011-2012,Internazionale,80074,58,6,2
2011-2012,Juventus,41254,84,1,7
2011-2012,Lazio,72698,62,4,5
2011-2012,Lecce,33876,36,18,17
2011-2012,Milan,80074,80,2,1
2011-2012,Napoli,60240,61,5,3
2011-2012,Novara,17875,32,19,20
2011-2012,Palermo,37242,43,16,8
2011-2012,Parma,27906,56,8,12
2011-2012,Roma,72698,56,7,6
2011-2012,Siena,15373,44,14,19
2011-2012,Udinese,41652,64,3,4
2012-2013,Atalanta,26542,40,15,12
2012-2013,Bologna,38279,44,13,9
2012-2013,Cagliari,16214,47,11,15
2012-2013,Catania,23420,56,8,11
2012-2013,Chievo,38402,45,12,10
2012-2013,Fiorentina,47282,70,4,13
2012-2013,Genoa,36685,38,17,17
2012-2013,Internazionale,80074,54,9,6
2012-2013,Juventus,41254,87,1,1
2012-2013,Lazio,72698,61,7,4
2012-2013,Milan,80074,72,3,2
2012-2013,Napoli,60240,78,2,5
2012-2013,Palermo,37242,32,18,16
2012-2013,Parma,27906,49,10,8
2012-2013,Pescara,24500,22,20,18
2012-2013,Roma,72698,62,6,7
2012-2013,Sampdoria,36685,42,14,20
2012-2013,Siena,15373,30,19,14
2012-2013,Torino,27994,39,16,19
2012-2013,Udinese,30642,66,5,3
2013-2014,Atalanta,26542,50,11,15
2013-2014,Bologna,38279,29,19,13
2013-2014,Cagliari,5000,39,15,11
2013-2014,Catania,23420,32,18,8
2013-2014,Chievo,38402,36,16,12
2013-2014,Fiorentina,47282,65,4,4
2013-2014,Genoa,36685,44,14,17
2013-2014,Internazionale,80018,60,5,9
2013-2014,Juventus,41254,102,1,1
2013-2014,Lazio,72698,56,9,7
2013-2014,Livorno,19238,25,20,20
2013-2014,Milan,80018,57,8,3
2013-2014,Napoli,60240,78,3,2
2013-2014,Parma,27906,58,6,10
2013-2014,Roma,72698,85,2,6
2013-2014,Sampdoria,36685,45,12,14
2013-2014,Sassuolo,20084,34,17,18
2013-2014,Torino,27994,57,7,16
2013-2014,Udinese,30642,44,13,5
2013-2014,Verona,38402,54,10,2
2014-2015,Atalanta,26542,37,17,11
2014-2015,Cagliari,16000,34,18,15
2014-2015,Cesena,23900,24,19,20
2014-2015,Chievo,38402,43,14,16
2014-2015,Empoli,16800,42,15,2
2014-2015,Fiorentina,47282,64,4,4
2014-2015,Genoa,36685,59,6,13
2014-2015,Internazionale,80018,55,8,5
2014-2015,Juventus,41254,87,1,1
2014-2015,Lazio,72698,69,3,9
2014-2015,Milan,80018,52,10,8
2014-2015,Napoli,60240,63,5,3
2014-2015,Palermo,36349,49,11,18
2014-2015,Parma,27906,19,20,6
2014-2015,Roma,72698,70,2,2
2014-2015,Sampdoria,36685,56,7,12
2014-2015,Sassuolo,23717,49,12,17
2014-2015,Torino,27994,54,9,7
2014-2015,Udinese,30642,41,16,14
2014-2015,Verona,38402,46,13,10
2015-2016,Atalanta,26542,45,13,17
2015-2016,Bologna,38279,42,14,20
2015-2016,Carpi,21151,38,18,18
2015-2016,Chievo,38402,50,9,14
2015-2016,Empoli,16800,46,10,15
2015-2016,Fiorentina,47282,64,5,4
2015-2016,Frosinone,10000,31,19,2
2015-2016,Genoa,36685,46,11,6
2015-2016,Internazionale,80018,67,4,8
2015-2016,Juventus,41475,91,1,1
2015-2016,Lazio,72698,54,8,3
2015-2016,Milan,80018,57,7,10
2015-2016,Napoli,60240,82,2,5
2015-2016,Palermo,36349,39,16,11
2015-2016,Roma,72698,80,3,2
2015-2016,Sampdoria,36685,40,15,7
2015-2016,Sassuolo,23717,61,6,12
2015-2016,Torino,27994,45,12,9
2015-2016,Udinese,25144,39,17,16
2015-2016,Verona,38402,28,20,13
2016-2017,Atalanta,26542,72,4,13
2016-2017,Bologna,38279,41,15,14
2016-2017,Cagliari,16000,47,11,18
2016-2017,Chievo,38402,43,14,9
2016-2017,Crotone,16547,34,17,19
2016-2017,Empoli,16800,32,18,10
2016-2017,Fiorentina,47282,60,8,5
2016-2017,Genoa,36685,36,36,11
2016-2017,Internazionale,80018,62,7,4
2016-2017,Juventus,41507,91,1,1
2016-2017,Lazio,72698,70,5,8
2016-2017,Milan,80018,63,6,7
2016-2017,Napoli,60240,86,3,2
2016-2017,Palermo,36349,26,19,16
2016-2017,Pescara,20476,18,20,20
2016-2017,Roma,72698,87,2,3
2016-2017,Sampdoria,36685,48,10,15
2016-2017,Sassuolo,23717,46,12,6
2016-2017,Torino,27994,53,9,12
2016-2017,Udinese,25144,45,13,17
2017-2018,Atalanta,21300,60,7,4
2017-2018,Benevento,17554,21,20,20
2017-2018,Bologna,38279,39,15,15
2017-2018,Cagliari,16233,39,16,11
2017-2018,Chievo,38402,40,13,14
2017-2018,Crotone,16547,35,18,17
2017-2018,Fiorentina,43147,57,8,8
2017-2018,Genoa,36685,41,12,16
2017-2018,Internazionale,80018,72,4,7
2017-2018,Juventus,41507,95,1,1
2017-2018,Lazio,70634,72,5,5
2017-2018,Milan,80018,64,6,6
2017-2018,Napoli,60240,91,2,3
2017-2018,Roma,70634,77,3,2
2017-2018,Sampdoria,36685,54,10,10
2017-2018,Sassuolo,23717,43,11,12
2017-2018,Spal,13020,38,17,18
2017-2018,Torino,27994,54,9,9
2017-2018,Udinese,25144,40,14,13
2017-2018,Verona,38402,25,19,19
2018-2019,Atalanta,21300,69,3,7
2018-2019,Bologna,38279,44,10,15
2018-2019,Cagliari,16233,41,15,16
2018-2019,Chievo,38402,17,20,13
2018-2019,Empoli,16284,38,18,18
2018-2019,Fiorentina,43147,41,16,8
2018-2019,Frosinone,16227,25,19,20
2018-2019,Genoa,36685,38,17,12
2018-2019,Internazionale,80018,69,4,4
2018-2019,Juventus,41507,90,1,1
2018-2019,Lazio,72698,59,8,5
2018-2019,Milan,80018,68,5,6
2018-2019,Napoli,60240,79,2,2
2018-2019,Parma,27906,41,14,19
2018-2019,Roma,72698,66,6,3
2018-2019,Sampdoria,36685,53,9,10
2018-2019,Sassuolo,23717,43,11,11
2018-2019,Spal,16164,42,13,17
2018-2019,Torino,27994,63,7,9
2018-2019,Udinese,25132,43,12,14
2019-2020,Atalanta,21300,78,3,3
2019-2020,Bologna,38279,47,12,10
2019-2020,Brescia,19500,25,19,18
2019-2020,Cagliari,16233,45,14,15
2019-2020,Fiorentina,43147,49,10,16
2019-2020,Genoa,36600,39,17,17
2019-2020,Internazionale,75923,82,2,4
2019-2020,Juventus,41507,83,1,1
2019-2020,Lazio,70634,78,4,8
2019-2020,Lecce,31533,35,18,19
2019-2020,Milan,75923,66,6,5
2019-2020,Napoli,54726,62,7,2
2019-2020,Parma,27906,49,11,14
2019-2020,Roma,70634,70,5,6
2019-2020,Sampdoria,36685,42,15,9
2019-2020,Sassuolo,21584,51,8,11
2019-2020,Spal,16134,20,20,13
2019-2020,Torino,27958,40,16,7
2019-2020,Udinese,25144,45,13,12
2019-2020,Verona,39211,49,9,20
2020-2021,AC Milan,75923,78,3,6
2020-2021,Atalanta,25000,33,18,3
2020-2021,Benevento,16867,41,12,18
2020-2021,Bologna,36462,37,16,12
2020-2021,Cagliari,16416,23,19,14
2020-2021,Crotone,16640,40,13,19
2020-2021,Fiorentina,45000,42,11,10
2020-2021,Genoa,36600,91,1,17
2020-2021,Internazionale,75923,78,4,2
2020-2021,Juventus,41507,68,6,1
2020-2021,Lazio,70634,79,2,4
2020-2021,Napoli,54726,77,5,7
2020-2021,Parma,27906,20,20,11
2020-2021,Roma,70634,62,7,5
2020-2021,Sampdoria,36599,52,9,15
2020-2021,Sassuolo,23717,62,8,8
